time,uav1_2_fused_error,uav1_3_fused_error,uav1_4_fused_error,uav1_5_fused_error,uav2_3_fused_error,uav2_4_fused_error,uav2_5_fused_error,uav3_4_fused_error,uav3_5_fused_error,uav4_5_fused_error
23.86,0.3482681528494981,0.33175321925287204,0.11300913617956085,0.1459868215713981,0.10927084256893028,0.12410842754077031,0.15231508368585067,0.1412042892034366,0.22706212543686152,0.18524634320418537
23.88,0.34776317303749626,0.3319370839412793,0.11369214082943606,0.1455241740654601,0.1100884087215941,0.12410851267585284,0.15161514633949366,0.1409585994779943,0.22632082478179455,0.18498471671636527
23.900000000000002,0.3471562633033631,0.33213184404035384,0.11404307434782134,0.14558831309356565,0.11035954115959853,0.12378338979121592,0.15079462397826493,0.1406360214142577,0.22544444722573567,0.18525159372620323
23.92,0.34672653208419135,0.33263714808220196,0.11428952822568375,0.14527371501701222,0.11073220569691192,0.12358501682456799,0.15015311743614537,0.139932206799884,0.22501156386364154,0.1854287940120409
23.94,0.3461873587915795,0.3325003641126133,0.11476359234103335,0.1453809607898599,0.11082213292339654,0.12292966420028545,0.14954905241993607,0.1396486000461468,0.22434628682736046,0.18568525001742112
23.96,0.34573970500403345,0.33261864186190876,0.11455887779685482,0.14527017411086432,0.1110588225527919,0.1227011549364997,0.14886180711204167,0.139413317354533,0.22349870943660527,0.1862259551632766
23.98,0.34521241168445793,0.3331526471330821,0.11429946905691739,0.14542748618196355,0.11163279945771008,0.12258033149098584,0.14849035435768215,0.13916291722661595,0.2232690753717548,0.18626491517958327
24.0,0.3451300184682656,0.3332446840152095,0.11443830997574833,0.145472333118554,0.11200184744935993,0.12279130705826093,0.14774278170872052,0.13844679204463295,0.22297522881632517,0.18630318466357304
24.02,0.3449980381521745,0.3337037062077279,0.11463607984510024,0.14497315719637155,0.1123992594749799,0.12270502989683896,0.1474747703727202,0.13780988178080952,0.222960353491851,0.18601239326399172
24.04,0.34568905528128985,0.33397752977115064,0.11495428183540786,0.14419452905714775,0.11289548947281172,0.12281711324890827,0.1473250848694906,0.13715135406767048,0.22267628741457138,0.1859267113202201
24.060000000000002,0.34631703405973396,0.334063914029937,0.1149191089123249,0.14380969185666342,0.11312137169538694,0.12256755749608264,0.14731894151536923,0.1365857303629159,0.2218195260440538,0.18526687159188793
24.080000000000002,0.347080870957974,0.33420803926692444,0.11558690335741748,0.14310988563916913,0.1128420512004492,0.12304273694283692,0.1474796481202884,0.13607794723615124,0.22088585557173357,0.1848321508891746
24.1,0.3476050860562695,0.3342205974160108,0.11633215951717966,0.14225045869462408,0.11277472216565874,0.12330828753183688,0.1475861555023498,0.1357537777054424,0.21999106637874624,0.18415408729401425
24.12,0.34798585441820445,0.3346142211172725,0.11669682208971655,0.14154115827877137,0.11286872003219871,0.1230972028017752,0.147172182657486,0.13575884673022576,0.2191324326712257,0.18315724443686998
24.14,0.34850811186928154,0.3352957683357654,0.11705210621195206,0.14105283480995492,0.11283299936023325,0.1230613430587319,0.14641964743830568,0.13583619551233925,0.2185312899608426,0.18246846103406303
24.16,0.34870206325363406,0.33594885865537105,0.11763154130349392,0.1409622359298687,0.11305816367500768,0.12319205157679029,0.14608118601620346,0.13555533950358947,0.217832089853048,0.1823085387147061
24.18,0.3492202253593007,0.3368388522959548,0.11864484662068804,0.1408320011254564,0.11358428132770308,0.12313209109743896,0.1457160979321135,0.1351695740382958,0.2172997214886947,0.1825033683740658
24.2,0.34948035298364477,0.3376763928355804,0.11945535380518234,0.14151724980072433,0.1141644335550458,0.12298072520491526,0.1456843845063325,0.135074610867787,0.21663358302494293,0.18266101745605445
24.22,0.35002470694171395,0.3383167469300435,0.12011276489058854,0.14201768742783666,0.11433234624520472,0.12269927547562647,0.14520395170838524,0.13443844454805592,0.2163475405364454,0.18319429527188633
24.240000000000002,0.35069107244513475,0.33899201958666314,0.12061285993244947,0.1422311322132522,0.11504010058942515,0.12323890142973147,0.14462482665334186,0.13359922287355824,0.21528679842921788,0.1836153586364972
24.26,0.35123644277740956,0.3396619182671695,0.12103968672226419,0.14241664829638967,0.11544936611451323,0.12338239352404567,0.14391932712319577,0.132509550670373,0.21430941090577713,0.18392960423473506
24.28,0.3517144273919309,0.3403833676803569,0.12175930754967858,0.14267092097969744,0.11574233347729637,0.12367600882654474,0.1433619576413768,0.1314607631980897,0.21325747116475577,0.18406778582399508
24.3,0.35242115038334065,0.3411190935664297,0.12210708537820746,0.1428242243432131,0.116073955204896,0.12389052476250187,0.14270963602502792,0.1311177320566841,0.21267040357160577,0.18426925102037842
24.32,0.3528524896324643,0.3417528676336221,0.12287097601325757,0.1434312886951426,0.11631615336580306,0.12366104947299768,0.14241592367501596,0.13060542103491898,0.2124000002531711,0.18401707371135306
24.34,0.35316034841450555,0.34271714858193014,0.12340658140909867,0.14326669957427987,0.11620245005050855,0.12336583893503728,0.14212222662136229,0.1300091892832095,0.21232231613127717,0.18385854030554827
24.36,0.3537640109841734,0.3432648281923586,0.12435546282078463,0.14359207490242037,0.11660619706847838,0.12338356742700426,0.14204975524588442,0.12993753134990144,0.21192605904324496,0.18348648548800114
24.38,0.35429518002415233,0.3437264164046366,0.12484976227539464,0.1441745200952019,0.11727528958649872,0.12307324761468255,0.1417284469212967,0.12946683948699475,0.21098556669808516,0.18321626215895045
24.400000000000002,0.3549697311397371,0.34416419312851143,0.12566428312275976,0.14429154087586252,0.11791762293985637,0.12302920470960102,0.14119467285345919,0.12897285241737202,0.21017944103859174,0.18293764696170875
24.42,0.3551787703010585,0.34507740110600393,0.12617460789367277,0.1440958642975706,0.11884764349114856,0.12268310813512923,0.1408502260403638,0.12905278466140227,0.20937918502193958,0.18238127065401993
24.44,0.3553638295003689,0.3461179481222604,0.12701331447337705,0.14386824282846672,0.11950181193129075,0.12246696688695922,0.14041206456674726,0.12925834540743372,0.20930114740429318,0.18143037111955748
24.46,0.356114682047876,0.3473761642217803,0.12703386571732422,0.14375401045463468,0.12011197223246328,0.1217738184297845,0.13996698054245557,0.12938770407130262,0.20893111337679007,0.18060567295779964
24.48,0.35660639705492414,0.34744981461270413,0.12728589419901723,0.14361394611092207,0.12072558350586138,0.12124840645451171,0.13956143108659808,0.12989173896240855,0.20871817203422208,0.17996919480195112
24.5,0.3565529574248346,0.3476347173486945,0.12796820393099392,0.14311835336255116,0.1216463909735743,0.12074699547289101,0.13917637446469966,0.1300366578972595,0.20843778447350453,0.17928721562799618
24.52,0.3563655345065349,0.3477450553120362,0.12876535768743852,0.14264223016867433,0.122156718297772,0.12032632723205401,0.13891955797419542,0.13016667374035779,0.20834562972319395,0.17861598393513684
24.54,0.3561722938763148,0.3481405373885148,0.1288586316809361,0.1421254622438513,0.12250433889242403,0.1199583383283934,0.1390163825067642,0.13033102554030393,0.2082496458904382,0.1779461828227629
24.560000000000002,0.3556901781428178,0.34831705469601204,0.12921931690480482,0.14133375759308367,0.12262593092334112,0.11988404922917673,0.13863394411848848,0.13023560663430492,0.20801531428022907,0.17765131319186622
24.580000000000002,0.3550808037095408,0.34889724550547146,0.12904794939230832,0.14077121369118414,0.12310846619129558,0.11970186269458369,0.13872330544585826,0.13077890911387618,0.20844174364128107,0.17731096970959873
24.6,0.3544316240151548,0.3493984373607965,0.1285856124410849,0.1403024223305668,0.12351255960057882,0.11966424659492117,0.13876543044866602,0.13076499512720674,0.20860699209854028,0.1767726219850737
24.62,0.3543330856706244,0.349610558004533,0.1280817207670773,0.13966727362628473,0.1239467452090035,0.11965463794294595,0.13875397108440793,0.13087805636631358,0.20900431887070092,0.17565876442301248
24.64,0.35352134369629845,0.34948341511765457,0.12778637946333612,0.1388997248915283,0.12455329611154087,0.11990132989908255,0.13831357324175617,0.13131474264285894,0.20873525379400862,0.17474434332823244
24.66,0.3530911717892434,0.3492524393799573,0.12726852605860312,0.13847813946183055,0.12533388849789623,0.11941310260769206,0.13799969057329603,0.1314157119993955,0.20884076959826514,0.17381466264189446
24.68,0.3528960602069442,0.3492370722762831,0.12690748389824444,0.1380854826625353,0.12602881277824918,0.11920914242533545,0.13766873638404986,0.1316857293481677,0.20870488894526978,0.17309668259819985
24.7,0.35274686106978476,0.3490819703068715,0.1270074781971038,0.13783262381148093,0.12667500713656568,0.11906555756359721,0.1370174043110317,0.13158684098785278,0.20861417350605593,0.17290588748064273
24.72,0.35210684642032747,0.34951631873738276,0.12687377300722308,0.1372950034811874,0.12732609657102534,0.11899730134168528,0.13600695070163463,0.13151103008287163,0.20856045721548305,0.1731709689240917
24.740000000000002,0.3522100806610043,0.3494813370308382,0.12671124025730668,0.13689010066779844,0.1276672292582082,0.11880503327774258,0.13537541905189096,0.13182230907097908,0.20810161159292118,0.17341169263269526
24.76,0.35211008967723095,0.349360954284691,0.1266466963819568,0.13684793763588002,0.1279371607531378,0.11929674660150462,0.1350373261539811,0.13188199599830502,0.20802530662641452,0.1740446624976603
24.78,0.35223983551233295,0.3492582613301062,0.12636571839880667,0.13683176520094997,0.12853911516008193,0.11976087441706995,0.13482574404097822,0.13185368537109843,0.2074987793013905,0.17431277001969678
24.8,0.3524765011774634,0.34925276799660043,0.1263692024417633,0.1367779466905472,0.1289560929233146,0.12023280856255852,0.13466489262355658,0.13168761997911357,0.207087593338618,0.1737944904188916
24.82,0.3524128302337121,0.34889961586630386,0.12684498897389856,0.1366430326221991,0.12932374047899395,0.12036347232170132,0.1340560204040501,0.13170525687121318,0.20730899099840264,0.17401037517153498
24.84,0.3520159678359948,0.34910653911156825,0.12679985322846815,0.13638495672254966,0.1301762763764269,0.12050362776010216,0.133541944349599,0.13147725061636892,0.20715680050291146,0.17418915061029688
24.86,0.35168994409373067,0.34914508653678766,0.12677148563913174,0.13583749871419154,0.13086318543416037,0.12068115684166919,0.13281756155148447,0.13112497522179908,0.20712637571589043,0.17442150316401783
