time,uav1_true_pos_x,uav2_true_pos_x,uav3_true_pos_x,uav4_true_pos_x,uav1_true_pos_y,uav2_true_pos_y,uav3_true_pos_y,uav4_true_pos_y
248.96,-170.6762803337777,-140.76265174344033,-141.6975253766138,-171.62912793881196,402.3732226942503,403.3208250715835,433.24638153092224,432.31123337803086
248.98000000000002,-170.69234843112415,-140.7787647153843,-141.71361835875734,-171.64530218107117,402.411198807654,403.3587991782492,433.2843456546456,432.34933664484646
249.0,-170.70844099648363,-140.7948650463329,-141.72973668722076,-171.6614554046227,402.44920020178716,403.39679867472,433.3223038915244,432.3874106788448
249.02,-170.72455960499215,-140.81094122253745,-141.74587869052323,-171.6775970217942,402.4872308066573,403.4348262474872,433.36026038837366,432.4254407028616
249.04,-170.7406865378337,-140.8270130889598,-141.76206309767227,-171.69373211351342,402.52529745815093,403.4728785239722,433.39821682656196,432.4634265031715
249.06,-170.7567976247665,-140.84308936936438,-141.77827060976477,-171.70986674881905,402.5633938283881,403.5109496420254,433.43616049921485,432.50137722613863
249.08,-170.77288445466357,-140.8591659937224,-141.7945049280688,-171.72600573544537,402.6014976461842,403.5490501415486,433.4740962537254,432.5393037499101
249.1,-170.78895400679852,-140.87524731350177,-141.81073496341475,-171.7421543298952,402.6396190277426,403.58717831124113,433.5120339414613,432.5772156287153
249.12,-170.80500951686992,-140.8913395991533,-141.826968030023,-171.75830258026392,402.67775313173064,403.6253429796805,433.54996311935645,432.6151050631441
249.14000000000001,-170.82104754228584,-140.9074525424329,-141.84319727447087,-171.77446047980482,402.71588718966063,403.66353243084245,433.5879120360332,432.65298881610374
249.16,-170.83708081352918,-140.92357700243093,-141.85941472123383,-171.79061581527526,402.75402408226535,403.7017400182596,433.6258731301808,432.69087473265563
249.18,-170.85312725066726,-140.9397119256273,-141.8756228020729,-171.8067493063042,402.7921595589584,403.7399539434705,433.6638334071906,432.72873292461946
249.20000000000002,-170.86918665142244,-140.9558548874564,-141.89182527929592,-171.82285503150405,402.83028968340176,403.77815439772246,433.70179463402286,432.76657689298554
249.22,-170.88526905140475,-140.9720155054404,-141.90802096060446,-171.8389469911661,402.8683995579938,403.8163356806975,433.739739218135,432.8043991940563
249.24,-170.90137804294702,-140.988196564505,-141.9242231418529,-171.8550386796529,402.9065142388977,403.85450364278586,433.7776632429547,432.842222341172
249.26000000000002,-170.91752440122374,-141.00440669477896,-141.94041876483877,-171.87113359560996,402.94464211533375,403.8926618680731,433.8155746366734,432.8800652987472
249.28,-170.9336995365167,-141.02061344313773,-141.9566128709542,-171.88724489425675,402.9827596156827,403.9308154793603,433.8534943731105,432.9179189393607
