time,uav1_true_pos_x,uav2_true_pos_x,uav3_true_pos_x,uav4_true_pos_x,uav5_true_pos_x,uav1_true_pos_y,uav2_true_pos_y,uav3_true_pos_y,uav4_true_pos_y,uav5_true_pos_y
188.18,-113.12748007107258,-114.18436060691917,-98.82413025347553,-85.89547992280374,-116.105725427399,49.092703966777265,65.65391968514145,58.886668901611586,57.61512587299387,36.271817618326025
188.20000000000002,-113.13919961987729,-114.19584221690415,-98.83580275134275,-85.90688970644132,-116.11703241350703,49.09865455452215,65.65989102883273,58.89275870613629,57.621061423325656,36.27788164549765
188.22,-113.15090350879706,-114.20733268028788,-98.84745802879718,-85.91830334614967,-116.12834008353751,49.10461087116608,65.66584888584659,58.89884477855685,57.6270072092245,36.28392761615182
188.24,-113.16256802039747,-114.21883514671471,-98.859083611446,-85.92970799742459,-116.13965267990862,49.11056973974489,65.67182736758889,58.90493666135661,57.632970015322535,36.28995108402226
188.26,-113.17418980929735,-114.23033639039427,-98.87069112491967,-85.94111815798323,-116.15097222793851,49.11652212588268,65.67781514984388,58.91103613515009,57.63895946071544,36.295945121715704
188.28,-113.18577076670518,-114.24184693874903,-98.88227452035846,-85.95253635990711,-116.16230888253693,49.12246369325879,65.68381086988215,58.91713957925942,57.64496168168978,36.30191023360546
188.3,-113.197314168377,-114.25334704551928,-98.89383285312532,-85.96396904380728,-116.17365854211369,49.1284023057233,65.68980889254426,58.92324178063883,57.650982130571606,36.30786252778872
188.32,-113.2088246908508,-114.26483439984952,-98.90535927176515,-85.97541854427419,-116.18502153565466,49.13434095224944,65.69581570741992,58.92933121393218,57.65700530192828,36.31381075268072
188.34,-113.22029682860617,-114.27632954993716,-98.91684915946257,-85.98688208018235,-116.19640793323306,49.14026854356224,65.70183657531783,58.935406426607784,57.663020413061524,36.3197655632053
188.36,-113.23173929526949,-114.28784354946619,-98.92830171057113,-85.99835573530945,-116.20781565135312,49.14619007690656,65.70786530900924,58.9414637151282,57.66902489410125,36.325737873342824
188.38,-113.24315658767081,-114.29935822328028,-98.9397297517133,-86.00983422162126,-116.21923931479454,49.15209371376339,65.71390309847116,58.94750693755031,57.675013723401555,36.33172839345946
188.4,-113.25456654868918,-114.31085282151973,-98.95112487539431,-86.02132299700666,-116.23067417056923,49.15798239700492,65.71995372433092,58.95355100278631,57.680993691780365,36.33773260656189
188.42000000000002,-113.26597980458281,-114.32232058294407,-98.96249981875506,-86.03282415554253,-116.24211015201246,49.16386554238168,65.72601463407399,58.95960059863235,57.6869687010711,36.343744257806584
188.44,-113.27740361720353,-114.3337793440164,-98.97385121900969,-86.04432861363233,-116.25355150687089,49.16974727990825,65.73208055112207,58.965656022824916,57.69294811916552,36.34977458639594
188.46,-113.28883148925927,-114.34523618242363,-98.98518560579643,-86.05583167094412,-116.26499250763874,49.17562158322447,65.7381602946459,58.971713726760306,57.69893452214969,36.355821783468954
