time,uav1_true_pos_x,uav2_true_pos_x,uav3_true_pos_x,uav1_true_pos_y,uav2_true_pos_y,uav3_true_pos_y
285.26,-88.14330177055874,-73.62802980567207,-77.64159914447673,96.52022606431912,92.8341097261856,107.25488630468928
285.28000000000003,-88.14970741826417,-73.63443209011942,-77.64786604376201,96.52723297999155,92.84143577987984,107.26201273574642
285.3,-88.1561008685082,-73.64079463500222,-77.6541344601305,96.53422110321213,92.84878179116028,107.26914419938493
285.32,-88.16247909719648,-73.64711995016644,-77.66041242215236,96.54120020019559,92.85613919439344,107.27628554313144
285.34000000000003,-88.16884537887019,-73.65340457062183,-77.66669815179316,96.54817036180195,92.8634986235223,107.28343004261959
285.36,-88.17519649869563,-73.65966401815155,-77.67298253174285,96.55512124593498,92.8708604231513,107.2905891001189
285.38,-88.18154197724887,-73.66590646357021,-77.67927479450694,96.56205760908517,92.87821063747106,107.29776519934494
285.40000000000003,-88.1878876420219,-73.67214373850638,-77.68557723077554,96.56899078510347,92.88555671333793,107.30496061794206
285.42,-88.19423604351799,-73.6783815005558,-77.69189554268205,96.57592311643236,92.89290065883074,107.3121563597128
285.44,-88.2005824953416,-73.68462450888906,-77.69824206124305,96.5828451349374,92.90023365877764,107.31935696134809
285.46,-88.20692538250871,-73.69086000791481,-77.70462447323072,96.5897594215093,92.90754056763171,107.32655546483399
285.48,-88.21326394728138,-73.69707607342761,-77.71103392798446,96.59666545898104,92.91481906116469,107.33375537544164
285.5,-88.21959018366317,-73.70326541060356,-77.71747533595234,96.60356830521916,92.92207784522486,107.34095623985043
285.52,-88.22590090929322,-73.70943234507556,-77.72393766390513,96.61046815976343,92.92931180793877,107.34815165814005
285.54,-88.23218351382414,-73.71558554234517,-77.73042457256646,96.617363231062,92.93652299351007,107.35533979827586
285.56,-88.23844289656564,-73.72173887689529,-77.73693725716983,96.6242530787911,92.9437113768817,107.36251880244261
285.58,-88.24469280553608,-73.72789206920795,-77.74347051355272,96.63113133873689,92.95088169758382,107.36968804903769
285.6,-88.25094204512254,-73.73404324089812,-77.75001550982711,96.63799940865972,92.95802871176241,107.37684507779856
285.62,-88.25717977090552,-73.74019800768197,-77.7565644031635,96.64486730724441,92.96515309808558,107.38399590464645
285.64,-88.26340952453354,-73.74635014585728,-77.76311016342198,96.65173507122907,92.97224754939275,107.39115240140809
285.66,-88.26963825365291,-73.75249724047713,-77.76966119902079,96.65861108887368,92.97931733526889,107.3983082468454
285.68,-88.27587617665189,-73.75864248047819,-77.77620892655511,96.66548822698829,92.9863540609601,107.40546875075233
285.7,-88.2821247944154,-73.7647845541757,-77.78275379177691,96.6723602568857,92.99336459637765,107.41263435596252
285.72,-88.28838336872708,-73.7709211955385,-77.78928601418326,96.67923181657822,93.00035503803325,107.41979332963402
285.74,-88.29464727447035,-73.77705313093725,-77.79580834029824,96.68610620605811,93.00732866833118,107.42694466404959
285.76,-88.30092175099966,-73.78318410639888,-77.80230932296243,96.69299797289133,93.0142941159409,107.43407516811588
285.78000000000003,-88.30720541010369,-73.78930828422014,-77.80879679182577,96.699911985662,93.02123571418142,107.44119524090145
285.8,-88.3134888344145,-73.7954152464299,-77.81527151782021,96.70683487317112,93.02816548655179,107.44830089989038
285.82,-88.31976369118642,-73.80150394072909,-77.82175080443388,96.7137648296791,93.0350760405626,107.45539173224961
285.84000000000003,-88.32602109054987,-73.80757157872715,-77.8282214095024,96.72069669148736,93.04195994331644,107.46246570433105
285.86,-88.33226579174975,-73.81362358588262,-77.83468162769591,96.72761713556947,93.04882856781629,107.46952946016957
285.88,-88.33851055340538,-73.81966714693735,-77.84113658585999,96.73452723849029,93.05568332815699,107.47659010315598
285.90000000000003,-88.34475779785505,-73.82570577426621,-77.84759905229875,96.74142903020012,93.06251814934934,107.4836504254961
285.92,-88.35099776177248,-73.83174582472223,-77.85407034861535,96.7483259853689,93.06933433526721,107.49070618373543
285.94,-88.35722691314788,-73.83778197165063,-77.86055484534592,96.75522135364692,93.07613534954285,107.49775605355012
285.96,-88.3634462918626,-73.84381803781656,-77.86705550551102,96.76210201411892,93.08293040346089,107.50480024549337
285.98,-88.36965544678519,-73.8498484350813,-77.87356309277615,96.76897640318936,93.08973285486792,107.51184600473732
286.0,-88.3758599703343,-73.85587443468397,-77.88006711174367,96.77584456854119,93.0965398728413,107.5188906588867
286.02,-88.38206039389308,-73.86190451835876,-77.88655848122768,96.78270180675905,93.1033501222679,107.52593047770955
286.04,-88.38825012276968,-73.86793989204824,-77.89303117512618,96.78954803738732,93.1101598734673,107.53296906230929
286.06,-88.39442649967151,-73.87398568459353,-77.89948391195433,96.79638001120523,93.11696419337554,107.53999945078995
286.08,-88.40059524420327,-73.8800377532714,-77.90591339303187,96.8032007313772,93.12375937933018,107.54703151979072
286.1,-88.40674966294873,-73.886101274779,-77.91231081205703,96.81002180593849,93.13055128483082,107.55408033311281
286.12,-88.41290181359969,-73.89216518425036,-77.91867890300126,96.81685032297064,93.13733164879605,107.56113466548399
286.14,-88.41904621830882,-73.89821690638277,-77.92501403034134,96.82368210115943,93.14410232648021,107.56818949302188
286.16,-88.42517816685219,-73.90425576335653,-77.9313331215854,96.83051353033257,93.15085404599455,107.57522799517754
286.18,-88.43129051548067,-73.91028735153553,-77.93763479742734,96.8373538681217,93.15759062711545,107.58225223432473
286.2,-88.43738913725554,-73.91632597788322,-77.94391492440661,96.84420762050792,93.16431718340151,107.58925703755548
286.22,-88.44348279677239,-73.92237978933413,-77.95017355744027,96.8510720955978,93.17103778434607,107.59624618473867
286.24,-88.44959189275716,-73.92844711324796,-77.95640575879382,96.85794600044197,93.17774543764062,107.60322396550319
286.26,-88.45571686753557,-73.93453251973622,-77.96262455440137,96.86483807274426,93.18443763543968,107.61019442519256
286.28000000000003,-88.46185111084233,-73.94064575662587,-77.96883131575265,96.87174395985949,93.1911154431827,107.61715793997323
286.3,-88.46798835715242,-73.9467864161401,-77.97502990071999,96.87865972582428,93.19778463464282,107.62410434816167
286.32,-88.47412719874592,-73.95293699117467,-77.98122268184545,96.88557790205917,93.20444234825365,107.63103084241817
