time,rel_vel_1_2,rel_vel_1_3,rel_vel_2_3
18.54,0.12925995344662108,0.2651233067638955,0.13638410038648657
18.56,0.12901625116055998,0.26463357823491357,0.13613756384789377
18.580000000000002,0.12877318288611697,0.2641451210082011,0.13589166500873254
18.6,0.12853074637335377,0.26365793057379683,0.13564640160883504
18.62,0.12828893938260244,0.263172002442322,0.1354017713983444
18.64,0.12804775968440996,0.2626873321448605,0.13515777213765276
18.66,0.1278072050594885,0.2622039152328642,0.13491440159735424
18.68,0.1275672732986485,0.2617217472780187,0.13467165755817817
18.7,0.12732796220274456,0.26124082387213793,0.13442953781093817
18.72,0.12708926958262415,0.2607611406270535,0.13418804015647284
18.740000000000002,0.12685119325906621,0.2602826931745001,0.13394716240559165
18.76,0.12661373106273638,0.25980547716601343,0.13370690237901836
18.78,0.1263768808341137,0.25932948827280944,0.13346725790734373
18.8,0.12614064042345322,0.25885472218567784,0.13322822683095611
18.82,0.12590500769072055,0.2583811746148753,0.13298980699999996
18.84,0.12566998050554912,0.2579088412900223,0.13275199627431555
18.86,0.12543555674717738,0.2574377179599864,0.13251479252338522
18.88,0.12520173430439968,0.2569678003927842,0.13227819362628412
18.900000000000002,0.12496851107551135,0.25649908437546853,0.13204219747162266
18.92,0.12473588496825944,0.2560315657140364,0.1318068019575034
18.94,0.12450385389978876,0.2555652402333074,0.13157200499145402
18.96,0.12427241579659014,0.25510010377682946,0.13133780449038368
18.98,0.12404156859444954,0.2546361522067782,0.13110419838053428
19.0,0.12381131023839725,0.25417338140385054,0.1308711845974249
19.02,0.12358163868265262,0.2537117872671638,0.13063876108580502
19.04,0.12335255189058804,0.2532513657141565,0.13040692579959273
19.06,0.12312404783465578,0.25279211268048335,0.1301756767018422
19.080000000000002,0.12289612449635906,0.25233402411992156,0.12994501176467899
19.1,0.12266877986619427,0.25187709600426966,0.12971492896925624
19.12,0.12244201194359854,0.2514213243232494,0.12948542630570983
19.14,0.1222158187369091,0.25096670508440627,0.12925650177309897
19.16,0.12199019826330966,0.2505132343130131,0.12902815337936366
19.18,0.12176514854878202,0.25006090805197434,0.12880037914127707
19.2,0.12154066762805797,0.24960972236173473,0.12857317708440252
19.22,0.1213167535445734,0.24915967332017325,0.12834654524303346
19.240000000000002,0.12109340435042601,0.24871075702251813,0.12812048166015078
19.26,0.12087061810631694,0.24826296958125135,0.12789498438738478
19.28,0.12064839288151273,0.24781630712600788,0.12767005148495417
19.3,0.12042672675379648,0.24737076580349185,0.12744568102162912
19.32,0.12020561780942368,0.24692634177738462,0.1272218710746852
19.34,0.11998506414307232,0.24648303122824192,0.12699861972984905
19.36,0.11976506385780127,0.24604083035342092,0.1267759250812685
19.38,0.1195456150650049,0.24559973536697227,0.12655378523144847
19.400000000000002,0.11932671588436398,0.2451597424995546,0.1263321982912154
19.42,0.11910836444380989,0.24472084799835797,0.12611116237967637
19.44,0.11889055887946871,0.2442830481269958,0.1258906756241674
19.46,0.1186732973356288,0.2438463391654346,0.12567073616021449
19.48,0.11845657796468648,0.24341071740989217,0.12545134213148684
19.5,0.11824039892711172,0.24297617917275963,0.12523249168975364
19.52,0.1180247583913968,0.2425427207825062,0.12501418299483943
19.54,0.11780965453402069,0.24211033858360612,0.12479641421458659
19.56,0.11759508553940326,0.24167902893644333,0.12457918352480654
19.580000000000002,0.11738104959986324,0.24124878821722967,0.12436248910923933
19.6,0.11716754491557578,0.24081961281791714,0.12414632915950871
19.62,0.11695456969452833,0.24039149914612495,0.12393070187509268
19.64,0.11674212215248078,0.23996444362504024,0.12371560546326535
19.66,0.1165302005129322,0.2395384426933491,0.12350103813905955
19.68,0.11631880300706621,0.2391134928051448,0.123286998125231
19.7,0.11610792787371658,0.23868959042985494,0.12307348365221946
19.72,0.11589757335932992,0.23826673205215107,0.12286049295809538
19.740000000000002,0.11568773771791656,0.23784491417187584,0.12264802428853666
19.76,0.11547841921101981,0.2374241333039562,0.12243607589677162
19.78,0.115269616107672,0.23700438597833196,0.12222464604355311
19.8,0.11506132668435823,0.23658566873987028,0.12201373299710812
19.82,0.11485354922497142,0.23616797814828655,0.12180333503310356
19.84,0.11464628202077445,0.23575131077806913,0.12159345043460872
19.86,0.11443952337036592,0.23533566321839997,0.12138407749205177
19.88,0.11423327157963754,0.23492103207307952,0.12117521450318512
19.900000000000002,0.11402752496173715,0.23450741396044997,0.12096685977304733
19.92,0.11382228183703044,0.23409480551331358,0.12075901161391812
19.94,0.11361754053306646,0.23368320337886875,0.12055166834529024
19.96,0.11341329938453054,0.2332726042186156,0.1203448282938217
19.98,0.11320955673321961,0.23286300470830346,0.12013848979330753
20.0,0.11300631092799555,0.23245440153784022,0.11993265118463685
20.02,0.11280356032474761,0.23204679141122342,0.11972731081576043
20.04,0.11260130328636664,0.2316401710464685,0.11952246704164476
20.06,0.11239953818270097,0.23123453717553855,0.11931811822424694
20.080000000000002,0.11219826339051525,0.23082988654426015,0.11911426273247053
20.1,0.11199747729346242,0.23042621591226178,0.118910898942133
20.12,0.11179717828205146,0.230023522052901,0.11870802523592437
20.14,0.11159736475359604,0.22962180175319408,0.11850564000338808
20.16,0.11139803511219781,0.22922105181373695,0.11830374164085979
20.18,0.11119918776869361,0.22882126904863717,0.11810232855145093
20.2,0.11100082114064012,0.2284224502854602,0.11790139914501085
20.22,0.11080293365225798,0.2280245923651362,0.11770095183808914
20.240000000000002,0.11060552373441845,0.22762769214190617,0.11750098505389599
20.26,0.11040858982458904,0.22723174648324654,0.11730149722228016
20.28,0.1102121303668148,0.22683675226980632,0.11710248677968521
20.3,0.11001614381167561,0.22644270639533307,0.11690395216911838
20.32,0.10982062861625722,0.22604960576661257,0.1167058918401189
20.34,0.10962558324411725,0.2256574473033946,0.11650830424871787
20.36,0.10943100616524819,0.2252662279383355,0.11631118785741827
20.38,0.10923689585604984,0.22487594461691982,0.11611454113514325
20.400000000000002,0.1090432507992926,0.2244865942974042,0.11591836255721745
20.42,0.10885006948408434,0.22409817395074677,0.11572265060532928
20.44,0.1086573504058453,0.22371068056054955,0.11552740376749848
20.46,0.10846509206626065,0.22332411112298292,0.1153326205380478
20.48,0.10827329297326517,0.22293846264673048,0.11513829941756376
20.5,0.1080819516410029,0.2225537321529199,0.11494443891286713
20.52,0.10789106658979862,0.22216991667506517,0.11475103753698403
20.54,0.10770063634611764,0.22178701325899247,0.11455809380911258
20.56,0.10751065944255012,0.22140501896279374,0.11436560625459077
20.580000000000002,0.10732113441776804,0.22102393085675245,0.11417357340486689
20.6,0.10713205981649289,0.22064374602328224,0.11398199379746893
20.62,0.1069434341894759,0.22026446155687268,0.11379086597597098
20.64,0.10675525609345965,0.21988607456401793,0.11360018848996059
20.66,0.10656752409114723,0.21950858216317004,0.11340995989502237
20.68,0.106380236751177,0.21913198148465868,0.11322017875268249
20.7,0.10619339264808687,0.2187562696706509,0.11303084363040523
20.72,0.10600699036228865,0.21838144387507957,0.11284195310154645
20.740000000000002,0.10582102848003948,0.2180075012635894,0.1126535057453283
20.76,0.10563550559340616,0.2176344390134752,0.11246550014681302
20.78,0.10545042030024568,0.21726225431362312,0.11227793489686419
20.8,0.10526577120416065,0.2168909443644526,0.1120908085921323
20.82,0.10508155691448984,0.21652050637786263,0.11190411983501147
20.84,0.10489777604626613,0.21615093757716877,0.11171786723361748
20.86,0.10471442722018949,0.21578223519704404,0.11153204940175718
20.88,0.10453150906260252,0.21541439648347266,0.11134666495890484
20.900000000000002,0.10434902020545668,0.21504741869368088,0.11116171253016771
20.92,0.10416695928629642,0.21468129909608916,0.11097719074625444
20.94,0.10398532494821104,0.21431603497025192,0.1107930982434628
20.96,0.1038041158398244,0.21395162360680245,0.1106094336636338
20.98,0.10362333061526291,0.21358806230740354,0.11042619565413611
21.0,0.10344296793412391,0.21322534838468138,0.11024338286783031
